0,ID,Lat,Lon
1,Prof101,55,-180
2,Prof102,55,-160
3,Prof103,55,-140
4,Prof104,55,-120
5,Prof105,55,-100
6,Prof106,55,-80
7,Prof107,55,-60
8,Prof108,55,-40
9,Prof109,55,-20
10,Prof110,55,0
11,Prof111,55,20
12,Prof112,55,40
13,Prof113,55,60
14,Prof114,55,80
15,Prof115,55,100
16,Prof116,55,120
17,Prof117,55,140
18,Prof118,55,160
19,Prof201,-55,-180
20,Prof202,-55,-160
21,Prof203,-55,-140
22,Prof204,-55,-120
23,Prof205,-55,-100
24,Prof206,-55,-80
25,Prof207,-55,-60
26,Prof208,-55,-40
27,Prof209,-55,-20
28,Prof210,-55,0
29,Prof211,-55,20
30,Prof212,-55,40
31,Prof213,-55,60
32,Prof214,-55,80
33,Prof215,-55,100
34,Prof216,-55,120
35,Prof217,-55,140
36,Prof218,-55,160
37,Prof301,80,20
38,Prof302,60,20
39,Prof303,40,20
40,Prof304,20,20
41,Prof305,0,20
42,Prof306,-20,20
43,Prof307,-40,20
44,Prof308,-60,20
45,Prof309,-80,20
46,Prof401,80,140
47,Prof402,60,140
48,Prof403,40,140
49,Prof404,20,140
50,Prof405,0,140
51,Prof406,-20,140
52,Prof407,-40,140
53,Prof408,-60,140
54,Prof409,-80,140
55,Prof501,80,-100
56,Prof502,60,-100
57,Prof503,40,-100
58,Prof504,20,-100
59,Prof505,0,-100
60,Prof506,-20,-100
61,Prof507,-40,-100
62,Prof508,-60,-100
63,Prof509,-80,-100
64,Prof601,0,-180
65,Prof602,0,-160
66,Prof603,0,-140
67,Prof604,0,-120
68,Prof605,0,-100
69,Prof606,0,-80
70,Prof607,0,-60
71,Prof608,0,-40
72,Prof609,0,-20
73,Prof610,0,0
74,Prof611,0,20
75,Prof612,0,40
76,Prof613,0,60
77,Prof614,0,80
78,Prof615,0,100
79,Prof616,0,120
80,Prof617,0,140
81,Prof618,0,160
82,Prof701,-70,-180
83,Prof702,-70,-160
84,Prof703,-70,-140
85,Prof704,-70,-120
86,Prof705,-70,-100
87,Prof706,-70,-80
88,Prof707,-70,-60
89,Prof708,-70,-40
90,Prof709,-70,-20
91,Prof710,-70,0
92,Prof711,-70,20
93,Prof712,-70,40
94,Prof713,-70,60
95,Prof714,-70,80
96,Prof715,-70,100
97,Prof716,-70,120
98,Prof717,-70,140
99,Prof718,-70,160
100,Prof801,-77,-180
101,Prof802,-77,-160
102,Prof803,-77,-140
103,Prof804,-77,-120
104,Prof805,-77,-100
105,Prof806,-77,-80
106,Prof807,-77,-60
107,Prof808,-77,-40
108,Prof809,-77,-20
109,Prof810,-77,0
110,Prof811,-77,20
111,Prof812,-77,40
112,Prof813,-77,60
113,Prof814,-77,80
114,Prof815,-77,100
115,Prof816,-77,120
116,Prof817,-77,140
117,Prof818,-77,160
