0,ID,Lat,Lon,,,,,,,,,,,,,
1,AR-SLu,-33.4648,-66.4598,,,,,,,,,,,,,
2,AR-TF1,-54.9733,-66.7335,,,,,,,,,,,,,
3,AR-Vir,-28.2395,-56.1886,,,,,,,,,,,,,
4,AT-Neu,47.1167,11.3175,,,,,,,,,,,,,
5,AU-Ade,-13.0769,131.1178,,,,,,,,,,,,,
6,AU-ASM,-22.283,133.249,,,,,,,,,,,,,
7,AU-Cpr,-34.0021,140.5891,,,,,,,,,,,,,
8,AU-Cum,-33.6152,150.7236,,,,,,,,,,,,,
9,AU-DaP,-14.0633,131.3181,,,,,,,,,,,,,
10,AU-DaS,-14.1593,131.3881,,,,,,,,,,,,,
11,AU-Dry,-15.2588,132.3706,,,,,,,,,,,,,
12,AU-Emr,-23.8587,148.4746,,,,,,,,,,,,,
13,AU-Fog,-12.5452,131.3072,,,,,,,,,,,,,
14,AU-Gin,-31.3764,115.7138,,,,,,,,,,,,,
15,AU-GWW,-30.1913,120.6541,,,,,,,,,,,,,
16,AU-How,-12.4943,131.1523,,,,,,,,,,,,,
17,AU-Lox,-34.4704,140.6551,,,,,,,,,,,,,
18,AU-RDF,-14.5636,132.4776,,,,,,,,,,,,,
19,AU-Rig,-36.6499,145.5759,,,,,,,,,,,,,
20,AU-Rob,-17.1175,145.6301,,,,,,,,,,,,,
21,AU-Stp,-17.1507,133.3502,,,,,,,,,,,,,
22,AU-TTE,-22.287,133.64,,,,,,,,,,,,,
23,AU-Tum,-35.6566,148.1517,,,,,,,,,,,,,
24,AU-Wac,-37.4259,145.1878,,,,,,,,,,,,,
25,AU-Whr,-36.6732,145.0294,,,,,,,,,,,,,
26,AU-Wom,-37.4222,144.0944,,,,,,,,,,,,,
27,AU-Ync,-34.9893,146.2907,,,,,,,,,,,,,
28,BE-Bra,51.30761,4.51984,,,,,,,,,,,,,
29,BE-Dor,50.31187,4.96811,,,,,,,,,,,,,
30,BE-Lcr,51.11218,3.85043,,,,,,,,,,,,,
31,BE-Lon,50.55162,4.74623,,,,,,,,,,,,,
32,BE-Maa,50.97987,5.63185,,,,,,,,,,,,,
33,BE-Vie,50.30496,5.99810,,,,,,,,,,,,,
34,BR-CST,-7.9682,-38.3842,,,,,,,,,,,,,
35,BR-Npw,-16.4980,-56.4120,,,,,,,,,,,,,
36,BR-Sa1,-2.8567,-54.9589,,,,,,,,,,,,,
37,BR-Sa3,-3.018,-54.9714,,,,,,,,,,,,,
38,CA-ARB,52.6950,-83.9452,,,,,,,,,,,,,
39,CA-ARF,52.7008,-83.9550,,,,,,,,,,,,,
40,CA-Ca1,49.8673,-125.3336,,,,,,,,,,,,,
41,CA-Ca2,49.8705,-125.2909,,,,,,,,,,,,,
42,CA-Cbo,44.3167,-79.9333,,,,,,,,,,,,,
43,CA-CF1,58.6658,-93.8300,,,,,,,,,,,,,
44,CA-DB2,49.1190,-122.9951,,,,,,,,,,,,,
45,CA-DBB,49.1293,-122.9849,,,,,,,,,,,,,
46,CA-ER1,43.6405,-80.4123,,,,,,,,,,,,,
47,CA-Gro,48.2167,-82.1556,,,,,,,,,,,,,
48,CA-LP1,55.1119,-122.8414,,,,,,,,,,,,,
49,CA-MA1,50.1645,-97.8762,,,,,,,,,,,,,
50,CA-MA2,50.1710,-97.8762,,,,,,,,,,,,,
51,CA-MA3,50.1774,-97.8686,,,,,,,,,,,,,
52,CA-Man,55.8796,-98.4808,,,,,,,,,,,,,
53,CA-NS1,55.8792,-98.4839,,,,,,,,,,,,,
54,CA-NS2,55.9058,-98.5247,,,,,,,,,,,,,
55,CA-NS3,55.9117,-98.3822,,,,,,,,,,,,,
56,CA-NS4,55.9144,-98.3806,,,,,,,,,,,,,
57,CA-NS5,55.8631,-98.4850,,,,,,,,,,,,,
58,CA-NS6,55.9167,-98.9644,,,,,,,,,,,,,
59,CA-NS7,56.6358,-99.9483,,,,,,,,,,,,,
60,CA-Oas,53.6289,-106.1978,,,,,,,,,,,,,
61,CA-Obs,53.9872,-105.1178,,,,,,,,,,,,,
62,CA-Qfo,49.6925,-74.3421,,,,,,,,,,,,,
63,CA-SF1,54.4850,-105.8176,,,,,,,,,,,,,
64,CA-SF2,54.2539,-105.8775,,,,,,,,,,,,,
65,CA-SF3,54.0916,-106.0053,,,,,,,,,,,,,
66,CA-TP1,42.6609,-80.5595,,,,,,,,,,,,,
67,CA-TP2,42.7744,-80.4588,,,,,,,,,,,,,
68,CA-TP3,42.7068,-80.3483,,,,,,,,,,,,,
69,CA-TP4,42.7102,-80.3574,,,,,,,,,,,,,
70,CA-TPD,42.6353,-80.5577,,,,,,,,,,,,,
71,CG-Tch,-4.2892,11.6564,,,,,,,,,,,,,
72,CH-Aws,46.583194,9.790417,,,,,,,,,,,,,
73,CH-Cha,47.21022222,8.410444444,,,,,,,,,,,,,
74,CH-Dav,46.81533,9.85597,,,,,,,,,,,,,
75,CH-Fru,47.1158,8.5378,,,,,,,,,,,,,
76,CH-Fru,47.1158,8.5378,,,,,,,,,,,,,
77,CH-Lae,47.478333,8.364389,,,,,,,,,,,,,
